"player_id","player_name","pos","team","n","adp_ovr","adp_pos","high_ovr","high_pos","low_ovr","low_pos"
"14087","Henderson, Darrell","RB","LAR",31,143.8,42.7,125,37,165,48
"14974","Mooney, Darnell","WR","CHI",32,143.8,51.8,106,37,164,59
"13722","Jarwin, Blake","TE","DAL",28,144.6,19.4,110,14,174,25
"14017","Wilson, Jeffery","RB","SFO",1,145,43,145,43,145,43
"10738","Jones, Marvin","WR","JAC",26,145.5,52.6,95,29,176,64
"13139","Williams, Jamaal","RB","DET",26,145.5,43,122,35,173,49
"14867","Kmet, Cole","TE","CHI",22,145.5,19.5,113,13,172,26
"13403","Koo, Younghoe","PK","ATL",20,146,1.5,99,1,198,4
"14057","Lock, Drew","QB","DEN",20,146,32.9,95,27,186,36
"13108","McKissic, J.D.","RB","WAS",23,146.7,43.4,114,32,175,50
"10413","Taylor, Tyrod","QB","HOU",6,146.8,33.3,100,30,199,38
"11390","Murray, Latavius","RB","NOS",23,149.5,44.4,122,36,172,49
"11640","Bridgewater, Teddy","QB","DEN",15,150.1,33.5,104,29,202,37
"13354","Butker, Harrison","PK","KCC",17,150.1,2.1,90,1,190,5
"12437","Myers, Jason","PK","SEA",1,151,1,151,1,151,1
"10729","Hilton, T.Y.","WR","IND",22,151.3,54.7,109,37,175,67
"12677","Hooper, Austin","TE","CLE",19,151.7,20.6,117,12,187,27
"13236","Everett, Gerald","TE","SEA",24,153,21.2,109,12,183,26
"15331","Freiermuth, Pat","TE","PIT",2,153.5,19.5,96,11,211,28
"10976","Tucker, Justin","PK","BAL",16,154,2.1,102,1,196,4
"14782","Love, Jordan","QB","GBP",2,155,35.5,123,33,187,38
"12785","Robinson, Demarcus","WR","KCC",1,157,61,157,61,157,61
"14839","Reagor, Jalen","WR","PHI",16,159.2,57.7,137,48,182,64
"10868","Zuerlein, Greg","PK","DAL",13,159.6,2.3,122,1,188,5
"15259","Stevenson, Rhamondre","RB","NEP",4,159.8,46.8,122,34,204,59
"14223","Mattison, Alexander","RB","MIN",17,160.1,47.2,134,41,186,53
"15308","Marshall, Terrace","WR","CAR",8,161.4,60.6,134,51,187,71
"14806","Perine, Lamical","RB","NYJ",2,161.5,47.5,127,38,196,57
"11695","Ebron, Eric","TE","PIT",11,164,22.7,114,15,191,27
"12181","Agholor, Nelson","WR","NEP",12,164.2,60.3,150,54,179,68
"13679","Herndon, Chris","TE","NYJ",1,165,26,165,26,165,26
"13814","Scott, Boston","RB","PHI",1,165,51,165,51,165,51
"14112","Campbell, Parris","WR","IND",10,165,60.3,143,50,191,69
"14845","Davis, Gabriel","WR","BUF",14,165.5,60.1,138,50,190,67
"13290","Cohen, Tarik","RB","CHI",7,165.9,49.1,146,46,176,51
"11192","Bell, Le'Veon","RB","FA*",1,169,50,169,50,169,50
"12152","Coleman, Tevin","RB","NYJ",5,169.8,49.4,137,41,194,57
"12658","Shepard, Sterling","WR","NYG",4,169.8,59,133,44,200,71
"15261","Hubbard, Chuba","RB","CAR",4,170,49,150,46,188,51
"13632","Lazard, Allen","WR","GBP",3,171,61.3,160,57,178,65
"13608","Penny, Rashaad","RB","SEA",4,171.5,51.8,164,49,190,55
"13645","Smith, Tre'Quan","WR","NOS",9,172,63.8,142,47,200,75
"11193","Bernard, Giovani","RB","TBB",5,172.6,50,127,36,215,63
"10261","Green, A.J.","WR","ARI",6,172.7,64.2,133,52,220,82
"14983","Bass, Tyler","PK","BUF",3,172.7,4.7,147,3,207,7
"9925","Graham, Jimmy","TE","CHI",2,174,26,168,25,180,27
"15283","Moore, Rondale","WR","ARI",10,174.1,64.1,151,57,192,70
"9918","Sanders, Emmanuel","WR","BUF",5,174.8,65.2,139,51,199,76
"10313","Dalton, Andy","QB","CHI",2,175,36,149,33,201,39
"13188","Howard, O.J.","TE","TBB",4,175.8,25.8,158,23,187,29
"13614","Lindsay, Phillip","RB","HOU",9,176.1,50.9,135,41,203,58
"13680","Hurst, Hayden","TE","ATL",4,176.2,27,146,22,205,33
"11783","Brown, John","WR","LVR",4,176.5,66.8,163,59,183,71
"14143","Knox, Dawson","TE","BUF",2,177,25.5,162,21,192,30
"15289","Toney, Kadarius","WR","NYG",4,177.2,66.5,149,53,197,75
"13607","Michel, Sony","RB","NEP",3,177.3,52.7,132,42,222,65
